tweet,label
kalau lihat yang kasmaran bicara cinta nyengir hati rassanya kalau baby xd juta kali lipattttttttttttttttttttttttt rasa cinta dari yang rasa d,love
semua laksana sholat salah satu bangun diri kafir salah satu gereja lindung allaah swt goda setan kutuk,fear
protes warga yang terima anak terima masuk sma negeri kualitas sekolah negeri anak sukses biaya yang murah zaman sulit,sadness
syukur bagi juang cari ikhlas ucap syukur alhamdulillah moga manfaat terima kasih,happy
takfiri ya allah engkau rabb sandar tolong lepas orang orang sekutu apa url,fear
cepat capcus nicch url warga jakarta mudik arah jawa sumatera jumat juni,fear
fadli zon dasar bibit bibit teroris indonesia kelompok ngaceng kuasa jual,anger
kalau lapar jam gin jakarta gampang cari makan makan sisa buka saja syukur iya lapar,sadness
kasihan sama mama hulk ijo bah besar anak yang nyali shg pakai akun anonim badan otak kosong url,sadness
me gila ya orang tetiba hujan deras lapang tonton ambil jaket buka payung tetap fokus tonton teman lebih gila rela terbang jakarta paris tonton tennis me dalam hati iya ya,sadness
sekian thread baca thread aneh sih tulis sumpah aneh sangat ngatain lebay saja bikin thread aduh jago nulis tulis beranta thread mbak,anger
bohong percaya percaya bohong terjemahanbebas tanya lugu gimana kak bohong tidak jadigalau,sadness
cinta bantu mana minta,love
ah sedih strong sel adit,sadness
lihat goblok begitu bangsa waste system sampah jerman username username username tolong gub wagub temuin mas username saya konsep tangan sampah cara integrated beliau rencana saya presentasi url,anger
lawan asa paham titik tentu salah silah masuk pilih salah salah niat tamu dar,sadness
diri hati plong begitu ku tahan diri rasa sejati penuh cinta,love
bagimana dapat untuk dapat cinta diam cinta diam,love
username username oh iya tuh mesti bikin mold bentuk panda hahahaha ingin nya bikin marble soap nis kayak gin url,happy
pasti donk semangat ya finis muda ajar ict nya olvyt,happy
manusia rakus bunda menteri advokat rampok rahasia negara istana orba bandit bingit,anger
jalan aga ramai orang jual saya liat yang dagang baju baju tulis gantipresiden gila mesti sih kaya gitunya kadang saya bingung ya sama orang indonesia syukur,anger
mirip bahagia gimanapun persepsi orang bahagia bahagia beda persepsi orang bahagia orang rasa yang rasa tentang bahagia,happy
ku bingung deh fans jatuh idola orang sih damai saja kek kerja ngejatuhin orang,sadness
lagi bicara kiya dek doain mama ya dek blablabla dek kiya bantu doa ya manggut manggut senyum tulus sangat muka ngerti yang bilang doain ya dek senyum sambil peluk,love
orang digituin pakai hijab nyanyi dangdut berpakian tutup orang bela via vallen nyanyi dangdut kenal gay seksi she deserved to be sexually harrased,anger
ngaku ci haha enga enak,anger
bodoh sangat memang telat sadar kalau tutup aurat ya begitu loh bodo d rumah karena saja tamu non mahram datang sepupu laki datang,fear
kaya orang jaman ya dok yang liat tegar nothing happens begitu yang butuh taking care first karena sejati broken inside,sadness
tangkepin polisi yang nolongin kasihan ya sih jamaah nya yang bloon tipu pakai ayat al qur an jual beli ayat syahwat kuasa,anger
depan badai bhkan lenyap yang ku yakin salama ketidakmungkinan yang moga,sadness
qyara ibu sosok penting jalan hidup rubah ku yang lebih berfikir tindak tekan ego amarahku yang kenal ku arti cinta harga sangat berterimakasih pdnya,love
yo yo wes sampean benar awas kalau,anger
smp gin jadi pas istirahat sekolah karena penasaran sangat telunjuk staples pas nancep kaya matung begitu takut teman yang liat langsung jerit kelas heboh sekarang trauma liat staples,fear
orang kaya kenal makan warung digratisin orang miskin suruh bayar gimana yang kaya kaya yang miskin miskin,anger
dear abang sayang username moga betah agens baru dukung apa putus percaya pilih cinta you oke taecyeon pm hottest indonesia,love
sungguh indah cipta sang tuhan pesona garis senyum manis sayang,love
jam malam nonton video video tampak yutup takut sih lampu rumah matiin,fear
ngbrol gaji atas aing bagaimana sih ndre detail gaji yang jelasin aing tidak tahu nanyain gaji saja marahin atas aing aing savage langsung backsound mobile legend,sadness
innalilahi wainnailaihi raji un moga amal ibadah beliau diterimah diridloi allah swt moga jeblos ustadz abb hidayah allah swt ganjar yang timpal url,sadness
moga mama bapa rusing teman teman lombok saja gempa susul moga yang rinjani lekas evakuasi prayforlombok,sadness
username kalau sanggup lambai tangan camera saja bro jemput pleaselah stop komen aneh negara salah tugas perintah tho url,anger
ampun tuhan lampau sibuk bangun mesjid lupa sujud mu fasih baca kitab suci mu temu mu,sadness
ajar agama yang tuntas nga ngarang hidup isa alquran terus jelekin isa baca alquran url,anger
takut acc suspend atuh kek acc suspend kalau suspend masuk kategori suspend permanen,fear
kalau pikir pikir saya teman homo tidak punya teman lesbi bukan nya respect yang lesbi saya waswas saja yang blakan lesbi cewek yang jomblo umur hidup saja saya takut suka cewek,fear
kaya jam x sesi jelasin orang korea cie pakai dramain biat pada nyambung pada ngerti temu padan korea terus sekarang yang lupa bahas koreanya cie hahahhaa url,happy
rakit rakit lupa bahagia streetcubeastborneo streetcubbalikpapan janganlupabahagia streetcubkaltim streetcubfans streetcub bpp streetcub,happy
saya ngeri saja begitu pas bela sungkawa niat hati kirim emot sedih yang pencet emot tertawa bahak bahak,fear
tapiiiiiiiiiii takut sekali takut karena abis lulus sih juang cari kerja benahin ngurangin orangtua,fear
terkadang duli motivasi bikin sakit hati sekira nya nerimain mah oke serah kecewa akan bodo serius atur,sadness
username wuish username tungguin nih film nya bikin film superhero terus kirim negara tetangga biar film indonesia trend,happy
mas hamdan kalau istri manja rewel hamil alhamdulillah hamil mas ngerti kadang suka geleng bosan jatuh cinta kali kali istri mas,love
serius ya username ngumbar ngember nama debitur media langgar pbi username rahasia nasabah url,anger
chara fleksibel benar caoer pakai chara benar cepat diwaroh mahluk tl lagi benar ya pakai chara cantik ganteng,happy
bahaya mercury untung cepat sadar stop pakai produk instan ya sayang kulit sehat karena cantik putih utama sehat drw aman mercury ples aman,fear
kali temu teman buka bisnis yang terus nyontek ijin kalau plagiat cuy masio gaisok gambar blas ngerti susah cari ide desain bayar mahal orang laah diaa enak jidat nyontek,anger
pas pacar terus pergi nonton bioskop orang dih nontonnya pacar terus terus ajak nih situ kalau ajak ku sentil amandel,anger
lirik lagu rendy pandugo days dalam sekali inti hubung selisih just let it flow and let it be cause to me you d be the one that i could see epic,happy
all we know of heaven all we need of hell pvris ikut pvris album yang sekarang lagu mature sangar dark fragile konsep album mv dan lain nya keren parah suka lagu mercy anyone else winter url,happy
hayuk ah biar ramai liat acara waisak,happy
hadeee bicara sesat pikir seperti mbak sadar pikir verbal harrasment benar cermin twit anak suka digodain pakai tytyd gimana kalau vv mayoritas cewek selera terima digituin diam url,anger
rlt cewek kalau kelas pacar terus nyeri dapat hibur bagaimana cewek ajak main onet hp mendem marah kali ya,fear
qu sudi koh disable instagram karena nyampah explore anak balita diajarin tiktok url,sadness
hidup sekali simpang bingung arah sisi hidup bebas sisi pikir kalau bebas orang,fear
muktamarimm kali muktamar yang keren muktamar sadar jaman maksimal website media internet countdown acara regustrasi serta daftar formatur keren,happy
ingat tebak tebak budi ikan ikan bentuk segitiga aisyah ikan sepat budi ayy aisyah terus desak penasaran budi iiikancut luuu nb hening detik tertawa malu wkwkwkwk recehkantwitter,happy
anak batita sambut sumringah peluk nempel menit ngetuk kamar mandi imo mandi jemur handuk takut pergi peluk lepas cinta senang,love
bahagia bahagia ac maksimal bahagia perka jalan normal selamat ya min username,happy
muhammad ali dar tinju muslim baik manusia baik era modern teguh prinsip lembut gemar amp,happy
anak nevolone marah grgr anton,anger
pesan masuk sexual harrasement sih bilang saja budaya paham patriark nya lihat coba laku saudari teman pacar tetap semangat gita amp,anger
seram nih kalau mati lampu gin ngeri saja pas lagi tinggal keluarga jogja besok rumah terus mati lampu,fear
teman sma nih hubung lagi jomblo makanya gangguin orang barangkali yang knalan bilang kemren cari pasang yang ngeetiin tugas hehew url,happy
username username cerita satinah kayak memang beda yaa reply bilang degdegan berani biarpun liat saja gaberani liat pic nya,fear
sore ngiler coto rumah keburu capai lapar malam buka kulkas temu indomie coto makassar alhamdullilah url,happy
gurindam karya raja ali haji baca sd baca ajar arab melayu fenomenal serius coba baca url,happy
biar sepi izin sama ikat yang restu semesta sayang paruh hati,love
zaman sd temenku cowok nih salah satu suka main desa seba nyebarang kali wkk suka bikin prakarya berantakin rumah jual lotre yak wkk pen ngaqaq ingat username,happy
evaluasi sedikit x ya yang nyinyirin tentang masalalu negara bangun coi hidup era mundur merosot moral coi gimana bangkit masalalu sibuk asik kritisi masalalu pikir wajib depan mata,anger
patut x buka hati untuk terima orang takut at the end ubah hati angin x deh tup jeng we re not meant to be together,fear
orang nyindir nyindir bisa bicara langsung ampun serta dengan bumbu kesal maaf teuteup ngoreksi harus mirip gimana,anger
tuju dukung apa putus bupati tim pemperjelas batas desa camat perijinan lokasi usaha tata untuk tingkat ekonomi sehat tenang aman url,happy
senang deh baca tweet nya mantan pa konglomerat si pramugari yang lagi viral ingin ngetweet alam kerja kacung kampret tahun yang pangkat ubah level doanng dari cungpret lv lv,happy
jatuh cinta ryan gosling the notebook tidak bosan nonton ulang la la land kali nonton la la land mata sayu senyum lembut gosling sekali url,love
woah urus fitnah dimusuhin bikin tidak mau sekolah gara tidak ada yang temenan trauma minggu malam besok pagi sekolah bikin malu depan orang lewat,sadness
username username username hidup th hidup hambalang hidup ektp hidup pln mangkrak korupsi url,anger
lepas krim dokter alias krim klinik alhamdulilah iritasi apa tyda diinginkannn yang kalau out pakai sunscreen bep,happy
tidak pernah ojol salah st saja masalah disamperin opang untung si mas ojol ganteng jaga allah ngeri sekali sih,fear
username tidak mau baca beres skripsi wkwk pas bedah buku catat juang datang fix sekali semhas habis libur lebaran huhu yang,sadness
tadu limit time bang time bidding untuk nainggolan tinggal mnts kritis untung tadu bang rio azmi cekat balas mensyennya hehehe makasih bang,happy
moga anak thailand selamat yahhh kalau dokumenter asliii bikin merinding baca thread orang saja merinding akuny,fear
kadang suka miris liat jalan daerah pelosok yang bangun perintah pusat nyediain pedestrian pis,sadness
orang nikmat hidup temu pasang karena milik sahabat teman orang dekat kurang kasih sayang,happy
username username username beberapa sedia tmp contoh pasar gembrong pakai trotoar harga dagang negeri atur happy,anger
niat sih tidur buka twitter eh scroll twitter habis iya kaya sayang tidak habis sayang habis tidak,sadness
username order driver gojek mgomel terang alamat yang tulis liat aplikasi yang pegang padahal tulis lengkap no rumah no kesal diomelin karena aplikasi gojek sndr yang kurang kompetible untuk,anger
alhamdulillah sehat sempat ukir kenang kisah hidup jadilebihbaik bijak sedia sosial dukung koneksi internet lancar url,happy
baik buat tetes air keringat laut,sadness
ri naik harga bbm memang rakyat bbm beli sukur beli ya serah demo silah ciduk pmrintah lawan url,anger
sumbang suara lagu hellomellopoppunk mas anang sih yes hellomellopoppunk hellomello poppunk subang recording masterplan recording chamber url,happy
anis bilang prabowo dukung mafia mangap fakta sok nyolot kunyuk username sopan santun pimpin,anger
username username please bawa nama anak muda bro debat dengan username pakai data nyinyir serasa generasi milenial literatur,anger
tunggu pagi mana manusia kirim pesan singkat isi pr bangga satu gadis percaya nya sekolah sring curht masalah kelurganya,happy
ada temu presiden username happy hati teman kunjung blukusan dada masyarakat tulis lagarde status twitter nya jokowiperiode,happy
sih mau bri transfer bank via bri mobile serius sih layan konsumen username,anger
hepi besdey pappa allello condropramonozld umur sehat sentosa rejeki soleh amin ya rabb pappayearsold malang url,happy
selamat username resmi dar saran si jago kasih dengar lagu ynwa tonton tanding liverpool biar ngerti sejarah setia haha,happy
min username ngajuin npwp online x tolak dengan alas yaa upload ktp gagal upload ktp kirim formuli hasil,anger
cak nun orang percaya akhirat logis percaya allah syar kafir cak nun bilang mega kafir orang paham,fear
dengar suara bom guntur geledek petir gunung letus dengar suara tangis buat,sadness
ish sial teman hahaha xp,anger
manusia yang watak setan anggap tuhan jalan agama,anger
melody batas ala member ya dibales mentionnya kenal saja hahaha ya sih kisah jeket beda,sadness
alhamdulilah tmksh tiara to cantik dart ava oy,happy
username gagal teman bohong mu makan sedih wed maaf yaa,sadness
spontan nyala flash hp cari tissue lap lupa senter kamar sejajar lokasi tetes liat hasil lap tisu parno pas braniin liat untung ya air flu nyium bau,fear
gara gara ngopi terus dengerin lagu lagu jadul jaman sd kaya tangga ello andien audy terus sekarang bikin playlist lagu yang angkat,happy
username belasut mesra papa pirang romeo rabun serabi solo punya kak ronzzykevin wkwkwkkwkw belasut mesra sih ramai wkwkwk,happy
askmf idung abis kena bola kencang sangat terus langsung muncul lecet merah begitu tulang idung cek dokter sih takut tulang idung geser tadu benar kencang sangat terus sakit nyeri begitu sekarang tidak sih,fear
ini mantap nii ini ini tok kemarin nonton deadpool han solo gr tidak ada teman kasihan dasar miskin tidak punya teman url,sadness
orang tua laku pacar biar lelaki caci maki tendang mending tinggalin saja cowok begitu mah,anger
baca thread fangirl mahasiswa anti kupu tuh ah mahasiswa gila memang lawan susah sangat,sadness
maha cinta sanding jiwa pilih mu baik baik baik,love
e btw ya tumblr benar blokir buat indo yak bulan nya app nya benar kaga buka ngiteeeerr terus,sadness
adoh mending ajar baca dolo deh sbelum coment stat orang biar salah arti tuh haha malu loh coment salah wkawka,anger
desa bejubelan krl salah goda puasa d depan nya wanita cantik kunyah gejrot hehe,fear
orang tanya deket gasih abgmu boro boro deket kelai terus iya sangking deketnya akur waktu kuliah suruh rumah barang tengkar yang main fisik,sadness
damai taik soekarno yang bubar partai islam masyumi zaman soeharto boleh masyumi keluarga bintang partai bintang begok dungu sok cebong url,anger
username lepas lepas tangan peran promoter project creators laku dukung backers featured project poin krusial mana enak dewe lepas tangan,anger
username ajar melt and pour yuk ar hahahaha hasil tetap cakap lemah nya komposisi soap nya link yt sabun lucu nih,happy
pulsa cepat habis yaa tidak tahu senyum hati karena hasil download game waptrick oldmoneygakngerasain,happy
iya orang egois,anger
username username mending ngusut teroris tahan damai nkri etdah gausa bawa aparat hukum penting politik situ kenapa btw nunjukin komentar yang pantes bagai alumni ui biar khalayak,anger
kemarin kampus anak kambing nyebrang eh kambing nya b ajha nyebrang histeris takut tabrak,fear
jam hening ku sentak bungkam sadar ku jatuh hati ku lihat foto nampaknya polos indah mata ku senyum,love
hey kamuuhhh moga kita jauh putus bodoh itu selamat jalan ibadah puasa budiirrr,anger
mas drivernya kayak meriksa duit masuk rumah pergi duhh maapin mas driver,sadness
tuh saya digituin pas kalau ketemu apsara awat gendut saja sih senyum saja iya saja dalam hati bacot anjing,anger
terus emak naksir sama baju yang beli terus nih beliau pen gamis yang dari hasil blusukan jam cuma dapat besok beliau beliin,sadness
kalau tisik ya anjir bebet bobot bibit apa sulit lulus kuliah saja bom pikir begitu visioner,fear
username bikin masuk my indihome beda tagih nya gimana solusi akun ceng com,anger
orang gosip gibah beda laku untuk dar lelah nyampah tempat percaya sengaja nyampah medsos niat hancur,anger
username paket no resi jb tahan kurir moh toha bandung mohon lanjut kirim,anger
ya allah lasut kemarin bangun jam kerja jam ingetnya kereta jam tahu ya allah moga lasut h,sadness
sayang hati hati utuh luka moga rasa yang orang yang sayang,love
sempet nonton berita waktu thailand ngerti bahasa diam saja nde sampai bal ngeh tonton berita,sadness
maaf bolak reply mohon bantu share maaf anggap nyampah anjing maaf kalau dengar lebay dramatis anjing benar setia sayang sangat sama maaf ganggu,sadness
mak gregah lantas bangkit duduk mati salur wi fi bayar kopi tinggal kajen alih masjid si mbah ronggo sumo ngemplak kidul rumah kawan nabuh beduk,happy
username heol gemesin parah tuh akrab strmarah or main dia takut gigit first time i met him tandain pipi kaki suka sekali cium pipi kiss me dreamy pwease,love
usaha tahan situasi mana teror sisi kaum hawa kagum paras manusia cerita bully karena dua kirim surat ancam kaum hawa kelas yang brbeda,sadness
cantik username langsung tidur ya balesin mentabnya besok peje kasih saja cok cok sayang baby,love
kangen sangat deh berapa ktm kgn nih sama sayang sangat sama moga dapat yang terus ya tidak mau cantik disakitin nih calon lawyer nih,love
marak isu sexual harassment gitasav via tidak bisa diam speakup biar masyarakat aware peduli menurutkuuu via speakup malu,sadness
it s like a circle of stupidity atlit diurusin duit bebenah biar atlit datang negeri nyaman atlit gizi beres bebenah eh salah stadion rusak supporter karena tim atlit main jelek what a moron,anger
negara hilang dapat cukai rokok hutang negara ah benar coba lihat dapat url,anger
halo polisi halo densus halo divisi humas polri kog akun kutil lendir penuh benci unsur provokatif gin biar exist sosial media instagram cc username url,anger
gin ya lacur wenang laki laki ngelecehin lacur lacur gratis consent belah this is why the worst enemy of feminim is women itself,anger
bagi cinta ungkap cinta senyum nyaman bahagia terima beda sifat milik,love
sakit migrain datang byknya yang butuh tenaga mikir bentar lagi mudik ya allah coba,sadness
oma dokter dika tolong pasangin gocar pulang ya downloadin aplikasi gojek oma dapat gocar pulang selamat tuju happily ever after,happy
kalau mudik balik sby logistik bahan pangan lengkap habis panen beli beras smp beberapa alhamdulillah nikmat pulang kampung,happy
indonesia pilih artis filter dulu apaya orang kek yonglek gin followersnya bagus sih bagaimana maju coba indonesia ya allah,anger
sibuk apa untuk beri kabar malam iya kalimat yang buat lega,love
bahak sangat yaallah next time adain menang part ya wkwkwk tidak ih buluk tetap cantik koo yuhuu luvsss,happy
bingung level beberapa muka kering parah pakai yang mempan kulit muka mentul lembab enak sekali trusan ganti produk rusak muka ganti lebih baik masih kering dilema mau ganti yang ganti yang,fear
maba kampus kalau kuliah mirip film film sumringah nanti bulan kuliah langsung kusut muka,sadness
username orang karena yakin guncang pola pikir ragu pola pikir jiwa baca nama tuhan cipta url,happy
hueee sayang guaaa melow gin sihhh cinta aaahhhh cinta so much untung sih jumpa my sweetie,love
diam saja omongin diam ya hahah bagus sih diam diam ngoceh saja sih jatohnya saja omongin,anger
username pakai asa bicara nya hanya benar caesar sama connor yang oke didi sama darren its not bad untung suka sama pda nyanyi,happy
jam edit video ini effort sempena birthday tin username start kenal sampai sekarang terima kasih sbb setia smping wlupun banyak kurang sayang tin and happy birthday fatin,love
yang nang motor begitu gapada takut tbtb bawa motor fokus jatuh tabrak ya saya nang motor histeris pikir seram saja nanti tbtb saya tabrak grgr fokus nyetir drama url,fear
tidak tahu tambah umur takut pacar takut khianat ya,fear
mah rasa enak kalau biar orang rasa enak biar orang begitu sih,anger
do anik lulus tes besok surabaya ya bu jujur ngisi materi forum yang level dokter benar takut takut salah maksud,fear
username minat dengan acara jenis acara cengengesan cerdas buang manfaat malu ya bikin acara kek begitu url,anger
gila sih lokasi selly oal amp,happy
hayolo ngemis dicariin sponsor kemarin mana saja pas hati bantuin kamuu mepet acara gin bingung cari sponsor perusahaanlu yang mintain tolong,anger
yuhuuu panutanqu username andra photo happy sekaliiii ketemu lain acara,happy
lagu sembah buat username username walikota solo fx had rudyatmo kota solo kenal luas berkat lagu solo yang username username url solo,happy
daripada keseel saja pikir omong nyokap kemarin nanti santai saja tenangin otak ngadem nongki buku balkot saja sore url,anger
dear username username username coba d tb saya dapat sms kaya yang minus k saya kaget bangun nyala hp langsung d palakin begitu makasih ya url,anger
username tolong tingkat layan gara kurir masuk paket telat yang masalah jnt cabang paskal bandung sih gara olshopnya jnt kirim ogah pakai jnt layan selal,anger
username username username ya wartawan seperti kangen adam malik beliau jurnalisme ilmu yang wajib paham laku industri press banyak kaidah jurnalistik yang longgar ketat baku dilu,sadness
username username memang stakeholdernya dpr ya rakyat jaman canggih kirim pakai selebaran puluh juta orang kasih orang dpr ngapain saja pakai twitter baca tweetnya balas,anger
lewat bayang betapa sulit lalu ajar ajar ajar petik hikmah petik depan,happy
dear username sang terima harga travel and tourism awards predilat lcc bintang skytrax kali telepon call center email adu customer care dengan nomor adu rsv complain saya tindak lanjut,anger
percaya hati mu,love
username ignore block bentuk biar leceh seksual langkah baik diam akan diam laku buat kaya begitu orang such logic,sadness
username username username username username hai mbak mulut bau kantor office boy bahasa inggris mantapp sekali yang inovasi mampu bukan bahasa,anger
senandung rindu curah bagi ya sayyidi ya rasullullah genggam cinta ungkap bagi ya sayyidi ya rasullullah syukur agung mulia ya sayyidi ya rasullullah jadi umat,love
username jiwa berwirausaha usaha berani ambil resiko apa usaha nya gagal sukses,happy
username ri siklus nya sering apa orang sulit,sadness
kadang suka terima kalau liat hidup we mirip teman we mulus saja balas dosa we,sadness
username kalau sik memang abis hilang deket ya bilang tahap bangunin sahur zone ahhhhhhh sial tayo tayo benar bang memang gila,sadness
sahabat el john bentar username ngebahas logo wonderful indonesia hasil wara wiri moscow rusia wowwww keren sekali ya sahabat el john info lengkap nya sebentar stay tune ya,happy
kalau bikin status nyindir orang salah rasa sindir bicara dulu orang baru bikin status biar ngerti orang mah suka nyindir orang yang da kek gin url,anger
apa yang hadap lemah kalah alam tambah janganlupabersyukur alwayssayalhamdulillah akurapopo,happy
sabar nunggu helat internationalgamelanfestival solo terima datang lebih dari kelompok gamelan negeri dalam gelar igf yang ada agustus,happy
dasar ngakaknya baca ayat saya saja ngapain marah ateis geli saya sembah charles darwin teori tahayul konyol,anger
naik gojek mas gojek tidak bisa bicara dengar ganggu usaha kerja keras milik kurang pantas keluh syukur yang tuhan,happy
begitu jurit malam umayan takut sih yang pakai kemah dulunya hutan sekarang jadi taman khusus kemah begitu jurit malam jam subuh cari lencana yang bentuk mirip uang koin,fear
nisanya cimit cimit ngerti arti effort klean semuah membuatkuh bangga lulus sekarang pen sangat sembur pakai jampe jampe jaga semangat juang tengah badai hidup,happy
username kalau yang lebih ngeri dompet ilang kalau yang mah pling ngeri cuma dompet ilang galau panjang karena didlm dompet bukan cuma duit ktp sim atm ilang gawat bang semen,fear
posesif sahabat takut diapain l jealous gebetan ajak jalan takut hilang sahabat jealous e deket l,fear
jam malam bioskop dua saja pas lampu lampu dimatiin eee ujuk ujuk teaser coming soon nya film horor iblis jemput laaahhh ya deg deg serrr,fear
cewek jan ingin tahu ah dweilah apansi ha apan o,anger
bukti asih tuhan asih milik kasih asih allah asih,love
sih memang saja ajak ekor mcflurry kalau hujan gin beli hangat eh kata beli hujan toleh tertawa,happy
username username mustinya biarin saja bom pas tidur lagi rapat saja ledak rasa ya bro alam lain amp,anger
username sayang sekali sekali sekali ya kalau ikon kali ngestan benar benar sayang sekali kek rasa disayaaaang sekali mereka sayang tidak bisa lepas gimana jelasinnya ya,love
favorit nih lagu album asteriska yang judul karvanda sederhana sih cerita balik lagu karvanda nama yang suka yang suka orang yang suka yang url,happy
suka cara suka,love
jalan jatibaru polisi gertak gubernur emangny polisi pmbhasan politik atur wilayah hak gubernur tn abang turun turun pelik sabar username username url,anger
sulit terima nyata anggap interaksi orang golong langsung golong ajar utuh klaim,sadness
juni mana gugur daun bidara lunglai resap sepi sesak rindu gebu semua lembar lembar kagum mu lelah kah tatap langit simpan cahaya biar malam peluk gelap pagi puja sunyi cinta engkau,sadness
username ku kasieun ku cemen kudu setrong ku deklarasi hastag sizzyharuskuat lagiiihhh,sadness
cc in cebong dungu maksd hati cari salah username username lwat pohon plastik bongkar skandal kasihan ahok gantipresiden url,anger
rakyat indonesia derita ulah koruptor yang kebal hukum bahagia derita rakyat indonesia jajah yang parah koruptor rakyat keras banting tulang koruptor yang nikmat,anger
obat simple takut snap od liat benda tajem saja suka takut takut ngelakuin aneh,fear
sekali disposable cameranya dari saja belum sempat sayang duit,sadness
excited kalau bicara orang kreatif kalau cengang ide pikir oleh oh iya pikir,happy
depan lha iya gimana coba lulus seni bisa nari kerja nari nari saja sih hasil tari kerja dontdateadancer,anger
tindak aparat paksa tendang bebas username username username,anger
username nasib cash back rp pending mohon informasi nya url,fear
askmf ganglion tang deket sekali urat nadi tulang geser eh pas cari digugel tumor ganglion takut yang kek gin,fear
aya rapi belum rambut abis bangun tidur nih cantik ya mantul febby nathania elvarette teman kebo url,happy
